company_name,company_id,全网评分,基本信息评分,创新评分,稳定性评分,风险评分
上加下信息技术成都有限公司,0f0fae18-d4a5-41b2-a69d-36760ff6d884,88.0,67.0,60,50.0,100
上屋云创电子商务有限公司,f7d0e8f5-53a2-4328-909d-eb607c8ba1db,83.0,55.0,65,55.0,85
上扬软件（成都）有限公司,6cb0768a-8473-427d-94db-e14462074857,83.0,76.0,55,55.0,100
上海一诺合创智能科技有限公司,5c7399cc-87dc-43c6-9fba-4f3695d50b85,61.0,35.0,50,55.0,90
上海吉诚智讯网络科技有限公司,23f8426d-dfe9-4b24-bf7d-bef9e410a5ba,61.0,53.0,40,50.0,90
上海巨硬铭锡科技有限公司,647c9808-5d4f-477b-8697-eed16818978a,67.0,43.0,45,50.0,90
上海恒鼎盛科学仪器有限公司,f2d7884a-b8b1-4db2-9770-77259b22c63d,58.0,49.0,35,45.0,90
上海迅投宽谷科技有限公司,24a7fb08-c4b9-47a7-9e97-fd038d984445,73.0,59.0,45,50.0,100
上海龙兵兵数字科技有限公司,d761ecb5-7c4e-4e4e-bb95-406fee2ff7c0,58.0,31.0,60,60.0,90
上银优势（成都）科技有限公司,d1db1131-6677-4894-9071-7ce84e59e278,53.0,25.0,35,45.0,90
下一把科技（成都）有限公司,7ae4c65a-1794-4c15-991a-6339576501ab,58.0,25.0,25,40.0,90
与川行网络科技（成都）有限公司,ac380e2a-ee45-49ad-9d78-f74f555ea51b,61.0,35.0,50,45.0,90
专知利乎成都知识产权运营有限公司,1b24996f-92c6-4b8b-ae1a-f76891c45bfb,73.0,47.0,65,55.0,90
世优宇宙（成都）科技有限公司,2f4eb756-4139-41a0-b7fa-c18aff5e8bf9,58.0,43.0,35,40.0,90
世纪网通成都科技有限公司,4ee19650-ce8e-499a-a650-e70629cdfe4b,67.0,55.0,45,55.0,100
世邦德（成都）信息科技有限公司,1327c047-4df3-4df5-9b7b-326c7f208d27,53.0,52.0,40,60.0,90
丙坤数字科技（成都）有限公司,127ac79f-58fb-4a27-b876-b96117c6b9f6,73.0,62.0,35,50.0,90
业兢集团有限公司,3a625bcf-f418-4988-b47e-344a22cb5193,84.0,73.0,70,60.0,85
业成科技（成都）有限公司,d798387f-d888-4bc1-bd31-08195ba81d7e,98.0,80.0,60,75.0,95
东方凯特瑞（成都）环保科技有限公司,59280250-b5d7-4645-83c7-77cf6663b965,91.0,72.0,55,70.0,65
东方日立（成都）电控设备有限公司,f33c382d-1abe-48b9-9145-e8212f15bea4,85.0,73.0,85,75.0,95
东方电气中能工控网络安全技术（成都）有限责任公司,37ebb081-04b2-4cc9-b5aa-acc2609cc679,79.0,66.0,65,60.0,90
东方电气氢能（成都）有限公司,efb4d22c-2f2a-454f-929b-927688564af9,93.0,74.0,40,45.0,90
东方电气洁能科技成都有限公司,bbddbccc-831f-4e9b-9b34-745e906dda2c,68.0,59.0,45,50.0,100
东方电气集团国际合作有限公司,612f3d0e-f54b-4c96-baef-953abc4c1742,96.0,75.0,55,75.0,95
东方电气集团科学技术研究院有限公司,3ee94787-9c2d-4054-9211-c8670dbaf6ba,91.0,71.0,75,70.0,100
东方电气（成都）工程设计咨询有限公司,d21bbc92-62a5-4b6e-b417-6a406fa15a21,83.0,67.0,50,55.0,100
东晶锐康晶体（成都）有限公司,f2ed7443-0a9f-41c7-8bcd-34365e830720,68.57882063630309,49.0,60,55.0,50
东营慧思远信息科技有限公司,24137f38-4f9f-4cbf-9c32-95df8edfbf52,61.0,35.0,35,45.0,90
东营谨秋信息科技有限公司,d3086c99-43ec-4c38-9a28-dee67e7cc006,53.0,31.0,30,45.0,90
东辉众创（成都）科技有限公司,85c36517-ffb9-415d-89c3-7dc14b912099,83.0,73.0,40,45.0,90
东领大数据科技成都有限公司,d8108641-83a3-4c39-829f-6410b0ff6198,58.0,43.0,40,55.0,100
丝路三芯（成都）智能科技有限公司,67b18bab-e9b5-4eed-8abe-50430cde7c3a,83.0,65.0,30,45.0,90
两英里科技成都有限公司,82fb7fe7-fad1-4481-a931-049660377681,49.0,53.0,65,55.0,100
严格科创产业发展集团（成都）有限公司,4d587d01-fd5f-4039-b128-b5b58d02ae3c,77.0,63.0,45,50.0,100
中为新智（成都）科技有限责任公司,db53c392-2033-4349-b06f-f5ba060332da,63.0,39.0,35,45.0,90
中久安特装备有限公司,e841f2d4-7b45-4492-95f3-266682d421e7,84.0,70.0,60,65.0,90
中之保金融科技（成都）有限公司,e9b55deb-16c9-426d-b608-88a14ea849ab,90.0,74.0,85,65.0,90
中云汇（成都）物联科技有限公司,a1fe2ea2-32c0-423d-bd45-a0d927c5e3db,77.0,69.0,80,45.0,80
中优环境检测成都有限责任公司,a6af7a0b-d6f4-46ad-b2f2-3cda2fbd5df7,61.0,53.0,65,55.0,100
中信国安建工集团有限公司,431ae9a5-13dc-477b-b3d1-dcacc9ef7448,98.0,82.0,70,60.0,40
中健天康（成都）科技有限公司,4c2d3690-e327-4e10-9e0d-7a6bd846e7e8,73.0,47.0,25,45.0,90
中储粮成都储藏研究院有限公司,49138322-fae1-4bfb-b647-94cfb0fd77af,84.0,67.0,85,55.0,100
中储粮成都储藏研究院有限公司,a7592ac9-3c1f-4f81-8045-0ffdddf3bf6d,84.0,67.0,80,55.0,100
中储粮成都储藏研究院有限公司,db2e5bea-5c84-4381-b162-8a0e6629a30f,84.0,67.0,85,60.0,100
中兴视觉智能科技成都有限公司,ff13674c-d195-409f-8aa1-69da7a659ca7,79.0,66.0,65,50.0,90
中农同辰空间信息技术有限公司,fbb86fc4-d90f-49ae-ad28-ac6180b4244c,83.0,73.0,60,45.0,90
中农工科（成都）农业发展有限公司,d17f3891-6e48-445e-8e68-2ce739480472,68.0,62.0,35,45.0,90
中冶交投善筑成都装配式建筑科技发展有限公司,2fea97e5-ddcd-4852-abc0-eb51d762488b,92.0,74.0,70,70.0,90
中冶成都勘察研究总院有限公司,b7169a43-e83d-4d9c-8ed4-e5821cef6103,92.0,71.0,75,80.0,100
中凌启创（成都）科技有限公司,c2be74a1-7983-42f3-b5ed-d1442ebcada2,58.0,25.0,25,50.0,90
中创为（成都）量子通信技术有限公司,ab5e731c-3eb3-42dd-84f5-a4a02312dbe7,88.0,67.0,70,60.0,75
中创华源科技有限公司,1d032a8e-aa9f-4199-b5db-21b8343a363b,83.0,70.0,50,40.0,90
中创博瑞建设工程有限公司,95d157fe-0bdc-49b7-bf7e-78a0e44d3601,88.0,67.0,65,50.0,100
中创远大信息技术股份有限公司,841e1510-e437-4994-beb0-8a1e71b4aa35,83.0,76.0,75,65.0,90
中创金建技术集团有限公司,3cb7bd0d-6aa4-450e-aab9-45c3be728647,83.0,73.0,75,70.0,95
中动信息产业集团有限公司,3293bb0c-6964-49b9-b02e-89968c4ae291,88.0,70.0,80,60.0,100
中化学七化建化工工程（成都）有限公司,2c74ef45-8238-4ac3-9645-9a304b35caea,83.0,67.0,70,65.0,100
中化融信成都科技有限公司,ce48a649-a6e1-471b-bc17-8b4b28a4bce4,88.0,70.0,70,55.0,100
中化资本数字科技有限公司,d9a1fa7f-cd8c-4f0d-ac25-153a2622f326,88.0,67.0,75,60.0,90
中卫物联成都科技有限公司,c77eb61e-3cf5-4413-804a-a270a4d85bc1,47.0,31.0,50,55.0,90
中和技术有限公司,100f8165-f0a8-4eb7-9e63-7ee98ad2fbb9,83.0,73.0,40,50.0,90
中唐工程设计有限公司,28ad886b-07f6-44e0-8428-ff1dd3fac6fe,83.0,67.0,65,55.0,100
中唐数智科技有限公司,aa435cef-931c-4645-ba52-078bab5bb368,83.0,70.0,80,50.0,90
中唐空铁多式联运有限公司,f77d207a-2e35-49cb-a6e3-4c6703757ad7,97.0,78.0,40,55.0,90
中唐空铁科技有限公司,c2cbed15-94e7-4a36-8835-8cbbbdc2ea0a,93.0,74.0,60,35.0,75
中唐通信服务有限公司,093eef4a-9234-421a-8b51-b20932cb8be8,89.0,71.0,80,65.0,95
中唯信工程顾问集团有限责任公司,9be443bc-ef05-44d9-af75-cd8059ce14bf,83.0,73.0,70,60.0,100
中商巨建智慧交通科技有限公司,fb4c00b2-07c0-4d7a-b121-5411bbc56031,92.0,74.0,55,50.0,90
中固维科（成都）动力技术有限公司,f6b37df0-8b60-4d9c-b4d6-45ca5a2aef38,59.0,53.0,80,60.0,100
中国五冶集团有限公司,c0b38b6b-e326-446c-ab97-89b85856ae91,99.0,88.0,70,60.0,100
中国化学工程第七建设有限公司,05849a9f-c485-47ad-b4b2-b4c213f86eb4,96.0,79.0,85,100.0,90
中国医药集团总公司四川抗菌素工业研究所,77545052-206a-44db-8d0b-f370bf7f2e8f,80.0,52.0,60,60.0,100
中国华西工程设计建设有限公司,36fe7e73-09ad-4867-ab61-cff66f3bef35,77.0,69.0,85,75.0,100
中国安能集团第三工程局有限公司,d8140dfe-6521-4fff-9f54-b73dc679b582,97.0,75.0,75,65.0,80
中国市政工程西南设计研究总院有限公司,88024b51-ee6a-49a0-9336-cdbb401bec09,96.0,75.0,90,75.0,95
中国建筑西南勘察设计研究院有限公司,2a5f7268-b01f-4710-9eaa-bac8d5b2ec27,93.0,71.0,85,70.0,70
中国建筑西南设计研究院有限公司,a6e6dc59-1fda-49fa-b085-d3f773bfc54d,94.0,71.0,90,80.0,95
中国成达工程有限公司,1649ba61-8918-4662-b748-7c1ca11654c6,98.0,79.0,65,80.0,70
中国核动力研究设计院设备制造厂,c28ca429-1154-4141-9c17-055df05656f8,75.0,48.0,90,85.0,95
中国民用航空总局第二研究所,8a64150f-dbcf-4484-a7cb-3884f34af092,90.0,56.0,90,85.0,100
中国水利水电第七工程局成都水电建设工程有限公司,940f9c17-26b2-4a1c-a69c-ededf9394351,94.0,74.0,75,60.0,75
中国水利水电第七工程局有限公司,6d0a28b8-70eb-4a5c-9868-33ea73290489,99.0,82.0,85,80.0,60
中国水利水电第五工程局有限公司,855ea0eb-73c3-4edb-bcf7-eed6959a26d7,98.0,82.0,90,80.0,60
中国水利水电第十工程局有限公司,d7dbe577-4919-4e69-91c1-dc236e373fde,98.0,79.0,65,70.0,60
中国物流股份有限公司成都分公司,838ff475-b9e2-4a5c-bca7-a5c73b7667ed,39.0,43.0,55,70.0,85
中国电力工程顾问集团西南电力设计院有限公司,145c6418-e159-4c9b-a6b4-41f4c97c87f4,97.0,75.0,85,80.0,95
中国电力建设工程咨询环境工程有限公司,a3d95d30-b94c-40fe-9850-e3a00c737070,63.0,59.0,55,60.0,100
中国电子科技网络信息安全有限公司,298815f3-e1a5-4fcc-b4e9-4766fcc847db,99.0,79.0,90,70.0,95
中国电子系统工程第三建设有限公司,faaa8b3d-04ba-418f-95f3-d9d249322aee,88.0,70.0,85,80.0,85
中国电建集团四川工程有限公司,e62a6aa7-e57f-4b1b-af06-ca6e9f423e7f,94.0,71.0,80,80.0,80
中国电建集团成都勘测设计研究院有限公司,ff4bceb5-dc1c-4d08-bc2d-671345f126cb,99.0,82.0,85,90.0,95
中国电建集团成都电力金具有限公司,06d32e14-e9f9-4ab6-991e-24e446688f5e,95.0,71.0,55,60.0,95
中国电建集团成都电力金具有限公司,40f44da7-a399-4c70-b31f-a35504ac60df,95.0,71.0,55,60.0,95
中国电建集团成都电力金具有限公司,dc08381d-13ee-4a6d-ac41-cf3d35b4ff63,95.0,71.0,55,60.0,95
中国电建集团透平科技有限公司,32cae47c-35c2-498b-96b4-3a175243b055,95.0,71.0,75,70.0,75
中国电建集团透平科技有限公司,e4d78d41-6344-4059-ba44-b64433a5f2dd,95.0,71.0,75,70.0,75
中国电建集团透平科技有限公司,f873fbe8-84b4-4366-bb49-61f69b356fb6,95.0,71.0,75,70.0,75
中国电建集团都江电力设备有限公司,0f4d8e73-9989-4be3-a4d0-09ebd16c4899,90.0,71.0,55,60.0,100
中国电建集团都江电力设备有限公司,44824724-e8b8-4857-b755-678020b974c7,90.0,71.0,55,60.0,100
中国电建集团都江电力设备有限公司,fd4dcb96-9eeb-493e-946a-8cf6b362ec42,90.0,71.0,55,60.0,100
中国石油集团川庆钻探工程有限公司,0182f05c-7f65-4906-8ee9-433a908e62af,99.0,79.0,70,75.0,90
中国科学院光电技术研究所光学元件厂,1bc4244d-f68e-4b2f-a5cc-4495ba7decbb,63.0,51.0,55,60.0,100
中国科学院成都有机化学有限公司,44d65ec1-e4a9-4829-a84e-d82bddde64df,80.0,70.0,75,65.0,100
中国航发成都发动机有限公司,a620fe4c-0726-47d1-8fb8-175e9e68fad4,97.0,82.0,80,80.0,85
中国航发航空科技股份有限公司,fc9b4b66-42ad-4f08-a0a4-9fdbfa85842a,94.0,83.0,60,75.0,85
中国葛洲坝集团机电建设有限公司,7112c5b5-c6e2-4ced-9a91-833d82e71685,95.0,79.0,85,80.0,85
中国葛洲坝集团第二工程有限公司,02567fad-30b7-4adb-97ae-7ceef11ea3a7,98.0,82.0,55,75.0,100
中国轻工业成都设计工程有限公司,96ef8a7f-7b2e-4d09-b65e-3b7ee016b189,77.0,63.0,80,65.0,95
中国重汽集团成都王牌商用车有限公司,a2722bea-3967-4299-9783-3e7422dab2da,97.0,81.0,80,75.0,60
中国铁建电气化局集团第五工程有限公司,086eb428-56d8-4c49-b718-b2cb75b5b1c6,84.0,71.0,85,70.0,95
中地云智慧科技有限公司,7b16d540-56e6-4e0e-9d6e-21783c867603,83.0,70.0,85,75.0,95
中城投第十一集团生态环境有限公司,34e10533-eb71-4f0c-bb1d-dd74bcdf0aca,85.0,70.0,45,50.0,100
中基数智（成都）科技有限公司,83c6d8b0-e089-4523-8141-fb5c8778b1fb,67.0,55.0,65,45.0,90
中基智造科技（成都）有限公司,f3dc3260-d7bc-4098-b8c2-d14a5e7e1074,74.0,69.0,60,60.0,100
中天华诺建设有限公司,91be9731-5b67-48ac-ac68-1502e1bf041b,83.0,73.0,55,50.0,90
中天君信勘测规划设计（四川）有限公司,063c1d75-073b-43fb-97de-016756a53592,58.0,49.0,45,50.0,100
中天建扬物流技术成都有限公司,89af5a80-a987-4877-ab29-78b354906057,80.0,73.0,85,65.0,100
中威博信（德州）电子科技有限公司,a52b5e45-b6bf-4473-9b9f-4e72892a9108,58.0,31.0,30,45.0,90
中威新能源（成都）有限公司,fe68d576-4519-45f0-b1d6-b36259ddac89,97.0,75.0,45,60.0,90
中宇龙诚（成都）信息技术咨询有限公司,f01dbb3d-9c46-409b-a153-f7fde76f88c4,47.0,31.0,25,50.0,90
中安信达建设有限公司,0f4000ab-9154-4911-9898-d01c14a97b3f,90.0,77.0,45,50.0,70
中安嘉泰建设工程有限公司,ccab457c-fb6f-440e-94b2-7d68418bff8a,83.0,73.0,45,45.0,90
中安工业互联网（成都）有限公司,fb7a131a-21c3-449b-8047-2fb533496e17,77.0,66.0,55,45.0,90
中安浩瑞科技有限公司,5026207f-f1be-46b9-832f-2ae79afd0f6d,83.0,70.0,80,60.0,100
中密安（成都）科技有限公司,56e8ab42-19f8-473d-92af-4dc6ecc470d2,61.0,53.0,50,45.0,90
中密控股股份有限公司,1d6f0bea-4d33-48cb-bb15-8c012d2a3370,92.0,83.0,75,75.0,95
中尔建设有限公司,f285d0e8-36d1-46c0-9f48-f2fe42096161,83.0,73.0,60,50.0,90
中展建设股份有限公司,cbb3fba0-fe7a-46a7-9fd4-f3b2f39c69da,83.0,76.0,85,65.0,75
中展玖邦（成都）文化传媒有限公司,00f29f4e-8f96-4119-ae64-a149659fc592,58.0,31.0,35,50.0,90
中川新迈科技有限公司,1fa5fcc1-6e7c-4288-9146-6d9cf21c1be5,77.0,69.0,55,45.0,90
中广核久源（成都）科技有限公司,142941cf-54a3-417a-b008-9abf071a7508,84.0,70.0,80,70.0,100
中广核达胜科技有限公司,dc78c9d3-be84-4f4d-ac6e-da2ae63ff477,83.0,70.0,75,65.0,100
中建八局西南建设工程有限公司,f8b56086-9295-4f67-864c-41ecdb19bc69,94.0,71.0,80,65.0,90
中建地下空间有限公司,c248084f-ea34-4064-855d-d164e72dae6b,95.0,74.0,85,70.0,70
中建新锐建设有限公司,578849fb-9fa6-4f6a-93e1-d762ba6e2423,85.0,67.0,55,55.0,85
中建易通科技股份有限公司,a50a64dd-4c11-4aca-bd65-ee22deb168fa,83.0,55.0,70,60.0,80
中建材西南勘测设计有限公司,d4d5ae6e-aeff-49fa-ab8d-d7d2edfb8d4a,88.0,67.0,60,55.0,95
中建环能科技股份有限公司,1d93beb7-ca50-4761-8262-f53f8bf6c226,96.0,87.0,80,80.0,100
中建环能科技股份有限公司,710a1c03-b130-4b09-9224-ee7de11fac39,96.0,87.0,80,80.0,100
中建环能科技股份有限公司,b6dd05b7-ef1b-45fc-a346-60beb6e26675,96.0,87.0,80,80.0,100
中建环能（四川）环境科技有限公司,3f932ba6-630c-400b-8632-693f37e3b47b,73.0,59.0,60,60.0,100
中建电子商务有限责任公司,9f2655fb-73a8-4304-b318-55d1d6b5a7d6,95.0,74.0,85,75.0,100
中建科技成都有限公司,2eea80c7-df88-40a1-8fda-230a58b0053d,92.0,74.0,75,60.0,65
中建西南咨询顾问有限公司,43e0ac5f-4ff1-4c13-ba96-21b21b543490,83.0,70.0,85,60.0,90
中建西南院数字城市科技（四川）有限公司,e706bd73-1a53-43e1-9c0a-94826a6c42a0,74.0,63.0,45,60.0,100
中建西部建设建材科学研究院有限公司,e6d815f1-f06c-4f22-8284-93f95f029bfe,91.0,71.0,70,50.0,100
中建西部建设西南有限公司,50639133-3e85-4ac7-9819-a38844e81d1a,96.0,75.0,80,80.0,70
中建铝新材料成都有限公司,708e99d2-bbfc-4efb-93e5-583af5f5773b,94.0,71.0,55,60.0,100
中建鸿腾建设集团有限公司,1dd5cd57-e613-46d9-990e-c566fa3d4bc4,96.0,78.0,70,80.0,100
中彦医疗科技有限责任公司,8c9406ae-17b1-4fa5-a539-92ed2056a8c2,88.0,70.0,50,45.0,90
中微爱酷半导体科技（成都）有限公司,f1de8eda-18d0-4dff-8da3-7fe22fa1a279,67.0,46.0,25,45.0,90
中德云岭（成都）科技有限公司,88c7ccbe-99b5-4ad1-b7d4-b748666a11e2,74.0,63.0,45,50.0,90
中德晨晰环保工程有限公司,2732bed3-56d9-4684-90de-1ca99e4cc932,83.0,73.0,55,50.0,100
中恒工程设计院有限公司,d2c06f80-9cec-46f5-b6c2-27b8571dde93,83.0,70.0,85,70.0,95
中恒工程设计院有限公司,f197b783-f8a9-4eaf-b198-bfe42cf1cfd0,83.0,70.0,85,70.0,95
中恒辉建设有限公司,37706a11-4b1b-4ed5-9b3c-4407316d7867,83.0,67.0,65,50.0,100
中悦天川企业服务（成都）有限公司,b38d18f2-2aa9-489a-a940-0c323639e9bd,61.0,35.0,30,60.0,90
中慧长源工程设计集团有限公司,860aa628-636d-4621-a4f9-7de5a586f59b,83.0,70.0,70,70.0,100
中成建业勘测设计有限公司,6406a78c-19dd-493f-88c9-161c3dd59911,83.0,70.0,50,50.0,90
中成智慧水务科技（成都）有限公司,5a7a6eb5-aa06-48ac-a089-06548f98994f,83.0,52.0,30,50.0,90
中成能源集团有限公司,3bc8b84a-2b69-4318-9b9d-700f57a1a32c,88.0,74.0,85,55.0,85
中抬科技集团有限公司,134aa32b-46f7-4c49-9078-8cea15495544,83.0,67.0,60,60.0,100
中拓维设计有限责任公司,02e86e91-4b24-4a0c-ba35-b65b1603aa63,83.0,73.0,70,60.0,100
中政智云（成都）科技有限公司,364e5274-d4f5-495b-92a8-80f7d9523c54,58.0,28.0,35,45.0,90
中新留服（成都）国际教育咨询集团有限公司,4c6b9428-dd8c-4dcf-83f0-10ee1a57fb82,58.0,49.0,30,45.0,90
中方设计有限公司,649b263e-0eb3-4aa6-aa87-87e3e1d37048,83.0,73.0,45,50.0,90
中明博瑞成都科技有限公司,b7e04af7-d349-48e6-b7b7-8c1fa019fac9,48.0,31.0,55,60.0,90
中晟华兴国际建工有限公司,9928c45f-7872-4f2c-ae94-683bdc2444ca,89.0,71.0,60,50.0,85
中景恒基云端物联网科技成都有限公司,3f51de93-bb9e-4ce1-8443-22b374d5a562,78.0,66.0,70,60.0,85
中曼电力科技有限公司,c1ac34b7-152a-485c-af7a-a14e0cd83fd8,90.0,77.0,80,65.0,90
中材智能科技（成都）有限公司,210bc071-9062-4767-8633-d7a4c796ed64,80.0,70.0,90,60.0,100
中材科技（成都）有限公司,b94dc0ce-9c89-4582-b7bd-748157fd24f4,94.0,71.0,70,65.0,90
中核中同蓝博（成都）医学检验有限公司,a55a6695-62c0-4426-8942-42b67f2c12ef,78.0,63.0,65,50.0,100
中核同创（成都）科技有限公司,09c2c962-d5da-4d55-ab31-aeb1a25b9f25,80.0,70.0,60,60.0,95
中核同创（成都）科技有限公司,d39d36af-0659-48c5-9431-78b7e04f5fa6,80.0,70.0,60,60.0,95
中核同创（成都）科技有限公司,da9effa7-170c-4277-9a7c-98cf0c465591,80.0,70.0,60,60.0,95
中森云链（成都）科技有限责任公司,7620a945-1ed6-4f76-92ff-a6bc77e09539,77.0,51.0,85,55.0,90
中森伟业建筑有限公司,4eef56e6-e1fe-4e96-aca7-b54888f4b3b9,83.0,73.0,45,50.0,90
中植一客成都汽车有限公司,63ddf80a-e654-4b09-8385-93222faa1657,94.0,74.0,70,75.0,80
中正天达建设集团有限公司,520cb3e1-2a26-47bf-a3a8-a8422792aa08,84.0,73.0,75,55.0,100
中水君信工程勘察设计有限公司,9d279e92-72ad-44af-aca4-0f81582762af,83.0,70.0,75,65.0,100
中水禹冰勘测设计有限公司,c3a8234a-6418-4fd0-9432-44105388659f,83.0,73.0,65,55.0,100
中汽成都配件有限公司,122a4b28-8f4b-4954-bfda-ecd3f29ab49a,80.0,67.0,70,65.0,90
中油奥博（成都）科技有限公司,7578afe0-e1ab-4199-b5a0-f395a2b4d0a6,73.0,66.0,55,60.0,100
中洁绿水环境技术成都有限公司,07e791ba-e8a6-4cc8-a830-cd8c187a2025,61.0,35.0,60,50.0,90
中测工程勘察设计院有限公司,308f36df-bc70-448f-b9e1-d93949efc245,83.0,73.0,60,45.0,90
中测测试科技有限公司,c54d330f-6c26-44ab-9df9-1ad2ba0f0468,83.0,70.0,70,60.0,95
中海生态环境科技有限公司,0e6c10cf-ce62-4ebd-baac-139899ff8096,83.0,67.0,70,50.0,100
中涂建工程集团有限公司,c53d0dd7-fbf3-4286-933b-35e9442f7881,79.0,73.0,40,55.0,100
中煤水文局集团（四川）水环科技检测有限公司,10ffdb8d-64a4-4932-aa1f-a6b08f6d1d57,67.0,55.0,65,60.0,80
中物九联（成都）科技有限责任公司,e210ee33-18e5-48e2-9d55-c30c20eb1502,67.0,61.0,55,45.0,90
中环宇清环境工程有限公司,d4264114-cf08-45dc-8d23-43d4b94d7676,73.0,67.0,40,50.0,90
中环服（成都）科技有限公司,c9ab48f0-ccad-414c-9490-06626ea888e9,79.0,69.0,80,55.0,100
中璨建设有限公司,f49eb651-58b8-4702-8d41-b9ed26eb3f71,83.0,73.0,35,60.0,90
中瓴创（成都）科技有限公司,920c0005-3c08-4608-95de-ece4ca9aa6cb,58.0,49.0,25,45.0,90
中瓴智行（成都）科技有限公司,6088b9ba-d7b0-463b-9b47-dc42c0bbe6d2,69.0,62.0,75,60.0,90
中申华达建设工程管理有限公司,8c0aaee3-252d-4498-b255-46d9c82a87a0,83.0,73.0,75,65.0,100
中电九天智能科技有限公司,7340d875-7f01-4f78-bbf9-fc8be201e3c5,84.0,70.0,85,65.0,90
中电传媒四川有限公司,f4144d6b-8ddd-49fa-aa9f-6b0ecadb991b,67.0,58.0,75,60.0,100
中电健康云科技有限公司,85d6c05d-fa5c-4291-8dec-c84998cf19a1,88.0,70.0,75,70.0,90
中电四川数据服务有限公司,e4ac135d-6a09-4440-961c-76bc40468f8a,83.0,70.0,75,60.0,90
中电建建筑装饰工程有限公司,d43e561a-2345-44d7-96cb-53f7792501e4,88.0,67.0,60,60.0,90
中电建成都建筑工业化有限责任公司,97675cd5-c9dc-49b0-bc71-9628e0e87a29,88.0,70.0,65,50.0,100
中电建成都建设投资有限公司,0e3f7d76-7359-4fe6-b60b-d43f49163472,97.0,75.0,55,60.0,100
中电建成都混凝土制品有限公司,e7874a07-3134-4904-a2c5-4208e8dfd14e,84.0,67.0,60,55.0,100
中电建成都铁塔有限公司,73167092-28be-404e-abe1-d18496226b5f,91.0,71.0,75,70.0,100
中电建路桥集团西部投资发展有限公司,fa005afe-920e-4c10-a453-926d0d394b8a,92.0,71.0,45,55.0,90
中电建（四川）城市运营管理有限公司,e4e074da-7b5a-401f-9640-8a9b6560e8b0,88.0,67.0,80,70.0,100
中电新元（成都）电力技术有限公司,0e9fea62-4cec-4e8f-8f1f-77bfefe79025,53.0,46.0,35,45.0,90
中电科柯林斯航空电子有限公司,13e9b515-c724-4df0-9995-1979a8b0174c,96.0,69.0,55,65.0,100
中电科泰雷兹航空电子有限公司,dd52d972-e444-4673-a2f0-60bbea36fa73,90.0,77.0,60,70.0,100
中电科网络安全科技股份有限公司,277b1b19-0c79-465c-80a7-da12c418d8e3,97.0,87.0,90,85.0,100
